"treatment_status","control","micro_credit","in_kind_grant","cash_grant","hasbiz","new_biz_assets","monthly_expanses","monthly_revenue","monthly_profits","labour_inc","total_inc","is_male","educ_college","educ_somecollege","educ_hs","age","marital_s","marital_m","worked","has_biz","family_inc_low","migrate","trained","has_kids"
2,0,0,1,0,1,39686.9920127001,300,500,200,200,680,0,0,0,1,36,0,1,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,36,0,0,1,0,1,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,1,0,0,0,0,0,1,NA
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,36,1,0,1,0,0,1,0,NA
1,0,1,0,0,1,52074.9890098572,600,1100,500,500,550,0,0,0,0,36,0,1,0,0,0,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,36,0,1,0,0,0,1,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,1,0,0,36,0,1,0,0,0,0,0,1
1,0,1,0,0,1,65467.7467296812,3000,6000,3000,6000,3000,0,0,0,0,36,0,1,1,0,0,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,0,0,0,0,0,0,1
0,1,0,0,0,1,56645.8497967341,9000,12000,3000,3000,3000,0,0,0,0,36,0,1,0,0,0,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,36,0,1,0,0,1,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,36,0,1,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,0,0,0,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,1,0,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,0,0,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,36,0,1,0,0,1,0,0,0
1,0,1,0,0,1,53920.6008696955,5000,7500,2500,2500,2550,0,0,0,1,36,0,1,0,0,0,0,1,1
1,0,1,0,0,1,53639.8461527143,500,500,0,200,550,0,0,0,1,36,0,1,0,0,0,0,1,1
1,0,1,0,0,1,54320.6008696955,400,600,200,200,750,0,0,0,1,36,0,1,1,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,36,0,1,1,0,1,0,0,1
0,1,0,0,0,1,40198.3142407907,500,1500,1000,1000,1000,0,0,0,0,36,0,0,0,0,1,0,0,1
0,1,0,0,0,1,53139.8461527143,3000,4000,1000,1750,1000,0,0,0,0,36,0,1,0,0,1,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,0,0,0,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,36,1,0,1,0,0,0,1,NA
1,0,1,0,0,1,48800.2379368958,500,1500,500,500,550,0,0,0,0,36,0,1,0,0,1,0,1,1
1,0,1,0,0,1,53920.6008696955,300,600,300,300,500,0,0,0,1,36,0,1,0,0,1,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,36,0,1,1,0,0,1,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,0,0,1,1,1,0
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,36,0,1,1,0,0,1,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,1,0,0,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,0,0,0,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,1,0,0,0,1,1
0,1,0,0,0,1,53920.6008696955,12000,15000,3000,3000,3000,0,0,0,1,36,0,1,0,0,1,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,36,0,1,0,0,1,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,36,0,1,0,0,0,0,0,1
1,0,1,0,0,1,41280.6986511815,20,60,0,0,150,0,0,0,0,36,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,0,0,0,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,36,0,1,0,0,0,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,0,0,0,0,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,1,0,0,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,36,0,1,0,0,1,0,1,1
1,0,1,0,0,1,53951.1683808049,1500,4000,2500,2500,2500,0,0,0,1,36,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,1,0,36,0,1,0,0,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,0,0,0,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,36,0,0,1,1,0,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,0,0,0,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,36,0,1,0,0,1,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,35,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,1,0,35,0,1,1,0,0,1,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,1,0,0,35,0,1,0,0,1,0,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,35,0,1,1,1,0,0,1,1
2,0,0,1,0,1,53920.6008696955,3000,3300,300,300,1015,0,0,0,1,35,0,1,0,0,0,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,35,1,0,0,0,1,1,1,NA
